1.000000000000000000e+02 1.279799634012426844e-03 6.525997945088484430e-03 1.485145804485036788e-02 7.573106141497791544e-02
1.100000000000000000e+02 1.908954627845727697e-03 7.178597739597334000e-03 2.215249857205263753e-02 8.330416755647571114e-02
1.200000000000000000e+02 2.655592208166272870e-03 7.831197534106182703e-03 3.081686790311270394e-02 9.087727369797350685e-02
1.300000000000000000e+02 3.500771446392453128e-03 8.483797328615030539e-03 4.062476568906631114e-02 9.845037983947128868e-02
1.400000000000000000e+02 4.423897152515553557e-03 9.136397123123878375e-03 5.133719467424054106e-02 1.060234859809690844e-01
1.500000000000000000e+02 5.404949633953313494e-03 9.788996917632727945e-03 6.272183597327669891e-02 1.135965921224668801e-01
1.600000000000000000e+02 6.425827188060609027e-03 1.044159671214157752e-02 7.456862804979853820e-02 1.211696982639646758e-01
1.700000000000000000e+02 7.471007088114946758e-03 1.109419650665042535e-02 8.669743714025900105e-02 1.287428044054624576e-01
1.800000000000000000e+02 8.527736903595359297e-03 1.174679630115927319e-02 9.896027743358372375e-02 1.363159105469602395e-01
1.900000000000000000e+02 9.585932567805169335e-03 1.239939609566812276e-02 1.112401281950521903e-01 1.438890166884580490e-01
2.000000000000000000e+02 1.063791433460895171e-02 1.305199589017696886e-02 1.234478696714669532e-01 1.514621228299558309e-01
2.100000000000000000e+02 1.167807048852672822e-02 1.370459568468581843e-02 1.355183806088476328e-01 1.590352289714536127e-01
2.200000000000000000e+02 1.270250599218698470e-02 1.435719547919466800e-02 1.474064609754323352e-01 1.666083351129514223e-01
2.300000000000000000e+02 1.370870949217528438e-02 1.500979527370351757e-02 1.590829677250137075e-01 1.741814412544492319e-01
2.400000000000000000e+02 1.469525589900360155e-02 1.566239506821236541e-02 1.705313633808030194e-01 1.817545473959470137e-01
2.500000000000000000e+02 1.566155133322183826e-02 1.631499486272121324e-02 1.817447562579596609e-01 1.893276535374447955e-01
2.600000000000000000e+02 1.660762094192023627e-02 1.696759465723006108e-02 1.927234381763479887e-01 1.969007596789425774e-01
2.700000000000000000e+02 1.753393660981274541e-02 1.762019445173891238e-02 2.034728851306823738e-01 2.044738658204403869e-01
2.800000000000000000e+02 1.844127992609479946e-02 1.827279424624775675e-02 2.140021670869448611e-01 2.120469719619381688e-01
2.900000000000000000e+02 1.933063522288980957e-02 1.892539404075660806e-02 2.243227067450990486e-01 2.196200781034359506e-01
3.000000000000000000e+02 2.020310760076671902e-02 1.957799383526545589e-02 2.344473282647235590e-01 2.271931842449337602e-01
3.100000000000000000e+02 2.105986129462367878e-02 2.023059362977430373e-02 2.443895420307916344e-01 2.347662903864315698e-01
3.200000000000000000e+02 2.190207431806788160e-02 2.088319342428315503e-02 2.541630183235553675e-01 2.423393965279293516e-01
